item_id,name,category,subcategory,description,price
I001,Aquamarine Tote,Handbags,Tote,"A luxurious tote in palegoldenrod leather, perfect for any occasion.",661.02
I002,MediumPurple Coat,Outerwear,Coat,"A luxurious coat in antiquewhite leather, perfect for any occasion.",2944.63
I003,AntiqueWhite Gloves,Accessories,Gloves,"A luxurious gloves in sienna leather, perfect for any occasion.",2780.33
I004,Bisque Tote,Handbags,Tote,"A luxurious tote in darkslateblue leather, perfect for any occasion.",1284.12
I005,IndianRed Boots,Footwear,Boots,"A luxurious boots in darkslategray leather, perfect for any occasion.",722.05
I006,OliveDrab Gloves,Accessories,Gloves,"A luxurious gloves in burlywood leather, perfect for any occasion.",775.3
I007,Beige Tote,Handbags,Tote,"A luxurious tote in royalblue leather, perfect for any occasion.",2982.3
I008,SlateGray Shoulder Bag,Handbags,Shoulder Bag,"A luxurious shoulder bag in navy leather, perfect for any occasion.",1509.2
I009,LightSalmon Jacket,Outerwear,Jacket,"A luxurious jacket in deepskyblue leather, perfect for any occasion.",1111.36
I010,BlueViolet Loafers,Footwear,Loafers,"A luxurious loafers in violet leather, perfect for any occasion.",868.82
I011,Fuchsia Jacket,Outerwear,Jacket,"A luxurious jacket in lightpink leather, perfect for any occasion.",1712.93
I012,BurlyWood Belt,Accessories,Belt,"A luxurious belt in greenyellow leather, perfect for any occasion.",1710.68
I013,LightSkyBlue Sneakers,Footwear,Sneakers,"A luxurious sneakers in silver leather, perfect for any occasion.",2581.95
I014,GreenYellow Scarf,Accessories,Scarf,"A luxurious scarf in magenta leather, perfect for any occasion.",867.32
I015,White Sneakers,Footwear,Sneakers,"A luxurious sneakers in darkviolet leather, perfect for any occasion.",2618.9
I016,Khaki Jacket,Outerwear,Jacket,"A luxurious jacket in darkseagreen leather, perfect for any occasion.",2526.48
I017,MediumSpringGreen Scarf,Accessories,Scarf,"A luxurious scarf in silver leather, perfect for any occasion.",1655.78
I018,GoldenRod Scarf,Accessories,Scarf,"A luxurious scarf in lightblue leather, perfect for any occasion.",2316.64
I019,Linen Scarf,Accessories,Scarf,"A luxurious scarf in mediumturquoise leather, perfect for any occasion.",1370.61
I020,RoyalBlue Coat,Outerwear,Coat,"A luxurious coat in fuchsia leather, perfect for any occasion.",1901.6
I021,GhostWhite Shoulder Bag,Handbags,Shoulder Bag,"A luxurious shoulder bag in lightyellow leather, perfect for any occasion.",2007.59
I022,DarkGray Clutch,Handbags,Clutch,"A luxurious clutch in palegoldenrod leather, perfect for any occasion.",2861.31
I023,MediumSlateBlue Tote,Handbags,Tote,"A luxurious tote in gold leather, perfect for any occasion.",932.98
I024,SandyBrown Clutch,Handbags,Clutch,"A luxurious clutch in seashell leather, perfect for any occasion.",1566.82
I025,SlateBlue Gloves,Accessories,Gloves,"A luxurious gloves in cornflowerblue leather, perfect for any occasion.",1531.51
I026,MediumSeaGreen Scarf,Accessories,Scarf,"A luxurious scarf in blue leather, perfect for any occasion.",2454.23
I027,OrangeRed Clutch,Handbags,Clutch,"A luxurious clutch in midnightblue leather, perfect for any occasion.",837.31
I028,LightBlue Belt,Accessories,Belt,"A luxurious belt in lightgoldenrodyellow leather, perfect for any occasion.",1421.87
I029,Orange Coat,Outerwear,Coat,"A luxurious coat in darkslateblue leather, perfect for any occasion.",1197.45
I030,Gray Belt,Accessories,Belt,"A luxurious belt in darkgray leather, perfect for any occasion.",2952.46
